age,income,employment_length,credit_history_length,num_credit_lines,num_open_accounts,total_debt,debt_to_income_ratio,credit_utilization,num_late_payments,num_delinquencies,bankruptcies,loan_amount,loan_purpose,homeownership,num_dependents,credit_risk
39,135359,8,21,7,3,29523,0.35,0.32,8,1,1,31669,education,own,5,0
61,95697,3,18,1,8,71088,0.2,0.19,6,2,2,13809,business,own,5,0
42,48732,13,22,3,4,66163,1.91,0.31,9,7,2,39428,auto,rent,0,1
66,141465,36,28,7,4,77525,1.2,0.97,15,9,2,30454,home,own,5,1
44,31314,33,29,11,5,13780,1.46,0.41,11,6,0,8254,education,mortgage,5,1
59,43954,10,6,5,0,6589,0.63,0.44,6,9,1,46590,personal,rent,4,1
45,77108,2,11,0,0,34812,0.79,0.58,17,5,0,25785,education,rent,3,1
33,107044,27,14,14,8,93664,0.47,0.98,14,0,1,3093,auto,rent,1,0
32,107505,28,24,3,2,45939,0.19,0.24,5,8,1,45498,home,own,0,0
64,131195,8,4,0,3,51493,0.36,0.68,11,2,1,41985,auto,own,1,1
68,123081,2,14,12,0,93326,1.6,0.72,10,4,2,33009,personal,mortgage,0,1
61,56668,24,7,1,8,40953,1.36,0.61,19,6,0,17558,personal,mortgage,2,1
72,43061,33,9,4,7,65785,1.09,0.09,2,6,0,18718,home,rent,4,1
69,99252,11,25,13,1,19309,0.95,0.68,1,2,1,17705,business,mortgage,5,0
74,59749,8,15,7,7,54195,1.84,0.06,5,3,0,23082,education,own,5,1
20,149668,14,7,7,6,25901,0.15,0.6,4,9,2,13342,education,mortgage,3,0
54,124680,39,0,10,5,23576,0.56,0.74,17,6,0,13239,personal,own,1,1
68,36907,24,11,2,0,31508,0.7,0.21,15,7,1,47622,auto,mortgage,1,1
24,38777,4,4,10,6,74711,1.56,0.84,7,1,2,47665,auto,own,1,1
38,113229,10,2,12,9,25464,1.99,0.03,19,8,2,33274,business,own,5,1
26,71745,33,0,3,6,60281,0.48,0.84,10,6,1,12419,auto,mortgage,1,1
56,128464,23,3,9,8,16260,1.75,0.46,9,7,0,43832,education,mortgage,4,1
35,148077,14,7,10,0,35440,1.66,0.22,11,5,1,16003,auto,own,0,1
21,111865,37,2,13,1,95082,0.45,0.13,5,5,0,31866,business,rent,5,0
42,132428,7,9,5,8,56683,0.8,0.95,19,8,0,22988,education,mortgage,4,1
31,101818,4,1,10,8,41430,0.82,0.07,4,3,2,44027,auto,own,2,0
67,43624,25,10,10,5,1987,1.96,0.2,8,4,1,25908,education,mortgage,4,1
26,43321,17,24,9,5,25105,0.36,0.35,15,8,2,6674,personal,mortgage,4,1
43,30488,5,9,2,3,78484,1.6,0.62,13,0,1,6002,personal,mortgage,2,1
70,42574,36,20,1,3,13026,0.67,0.54,7,3,1,28567,personal,mortgage,4,1
19,25240,12,13,5,4,68309,1.46,0.13,19,6,2,1910,auto,mortgage,0,1
37,63221,27,6,10,2,45927,0.84,0.29,18,8,1,30072,business,rent,5,1
45,30478,4,26,12,0,75414,1.16,0.24,13,9,1,34717,education,rent,3,1
64,148055,12,26,14,0,57535,1.67,0.21,6,5,0,22809,home,rent,2,1
24,75645,16,1,4,6,42946,1.61,0.41,4,7,1,27651,personal,own,5,1
61,130698,39,8,13,0,56561,1.73,0.7,17,8,1,45291,personal,rent,1,1
25,39262,31,15,9,0,10377,0.12,0.22,1,9,2,44989,home,rent,0,0
64,138831,28,12,4,2,53592,1.38,0.37,10,3,2,17484,home,own,3,1
52,72796,2,8,9,9,7347,0.28,0.39,7,0,1,5646,auto,rent,0,0
31,24432,39,19,12,3,33776,0.83,0.98,0,7,0,40713,education,mortgage,0,1
34,115257,33,3,4,3,3783,1.1,0.95,11,1,0,3400,personal,rent,1,1
53,84291,39,21,9,1,55798,0.81,0.8,1,0,2,45331,business,rent,3,0
67,99104,26,9,11,0,4298,1.04,0.24,17,6,1,23185,auto,rent,0,1
57,79399,12,25,4,2,70204,1.99,0.07,6,9,1,19727,auto,mortgage,1,1
21,147600,32,25,2,3,86207,0.27,0.32,16,8,0,34120,business,mortgage,2,0
19,99714,5,21,6,2,55161,1.35,0.27,13,8,0,49257,business,mortgage,1,1
23,70428,23,11,5,7,60652,0.79,0.51,6,2,0,2018,business,mortgage,4,1
71,107731,18,16,3,9,34484,0.27,0.78,2,5,2,18563,home,own,5,0
59,145646,15,13,1,0,98614,0.32,0.86,5,6,1,6193,personal,mortgage,1,0
21,20302,39,13,11,1,20922,1.9,0.84,19,9,2,16701,home,mortgage,1,1
71,102558,27,24,8,6,34028,1.76,0.36,1,8,1,4536,personal,mortgage,1,1
46,20055,32,1,0,3,20316,1.81,0.69,16,1,2,49217,home,mortgage,0,1
35,131317,12,20,12,7,76996,1.98,0.31,11,7,1,45610,education,own,3,1
43,28717,24,24,12,2,16968,0.42,0.06,11,6,0,19886,personal,rent,1,0
61,147449,35,19,10,5,30266,0.71,0.7,16,3,0,37587,auto,rent,1,0
51,48699,26,10,14,8,95745,1.34,0.01,9,1,0,30410,personal,mortgage,4,1
27,93686,37,15,13,0,24000,0.97,0.41,2,7,2,34744,personal,mortgage,4,1
53,87661,6,18,3,0,14011,0.84,0.33,19,4,0,39665,personal,mortgage,2,1
31,64247,4,22,0,7,2866,0.72,0.69,17,5,1,16957,education,rent,2,1
48,134049,30,5,12,2,5898,1.19,0.77,12,6,2,49127,home,rent,4,1
65,36748,22,23,5,4,18395,1.15,0.3,11,9,1,47008,auto,mortgage,3,1
32,125113,9,18,3,0,39019,0.32,0.81,16,0,2,33875,home,rent,2,1
25,24621,31,4,4,4,4006,0.94,0.29,3,7,1,49292,home,own,5,1
31,35034,29,25,4,5,34393,1.11,0.45,9,3,1,2626,business,mortgage,5,1
40,131927,38,3,8,7,10956,1.14,0.73,10,8,2,26279,education,mortgage,3,1
74,147858,30,14,0,2,50042,0.42,0.69,5,0,2,7229,business,own,4,0
57,25126,17,28,12,2,96199,1.48,0.99,5,1,0,7877,education,own,2,1
38,25122,35,3,1,9,6078,0.05,0.23,8,5,0,34642,home,rent,1,0
33,38030,1,19,12,8,29631,0.71,0.66,14,9,1,39311,home,own,4,1
62,102838,13,9,5,3,95676,1.56,0.61,1,0,1,33356,education,mortgage,2,1
35,104717,12,23,4,3,62901,1.13,0.92,3,3,1,4809,home,rent,3,1
64,75658,28,21,10,6,69497,0.52,0.16,4,7,2,44371,home,own,5,0
70,58638,11,2,6,1,94813,1.39,0.75,16,9,2,35875,auto,rent,3,1
41,87067,38,25,2,7,41574,1.13,0.57,7,4,0,45513,business,rent,2,0
43,126476,1,4,2,5,31417,1.59,0.27,7,8,1,10465,business,rent,3,1
42,138033,31,5,9,2,88020,1.47,0.47,11,5,0,1559,business,rent,2,1
62,125977,12,20,1,8,83639,1.22,0.33,7,0,2,9308,personal,own,2,1
58,108869,26,21,12,4,65006,0.98,0.58,18,5,2,22353,auto,mortgage,3,1
46,125186,16,7,2,7,94881,0.27,0.89,2,5,2,16250,business,mortgage,0,0
32,54674,39,6,9,6,39454,0.52,0.57,17,5,0,47023,business,own,1,1
62,55854,30,20,0,7,1587,0.84,0.63,18,7,2,36814,auto,mortgage,4,1
18,66271,33,9,4,6,54710,1.2,0.52,18,5,1,47624,home,rent,5,1
42,93688,23,5,13,2,86567,1.03,0.05,14,4,0,17427,business,rent,1,0
24,58518,34,13,14,1,91748,0.58,0.23,5,1,2,34276,home,rent,4,1
26,131076,5,3,11,6,75886,0.01,0.49,15,3,0,7107,business,own,4,0
41,30267,18,27,4,2,18816,0.99,0.31,7,9,0,14476,education,rent,5,0
18,110825,29,24,11,2,85824,0.57,0.18,15,4,2,4439,personal,rent,1,0
61,21062,6,12,10,1,29432,1.47,0.5,17,9,2,21312,business,own,5,1
25,136664,9,19,6,3,48617,0.05,0.32,19,3,0,22795,education,rent,2,0
41,70448,31,16,3,7,72373,1.17,0.26,15,1,0,14136,auto,rent,5,1
28,115462,33,22,2,0,34217,1.88,0.46,10,6,2,15167,education,mortgage,3,1
68,26229,27,6,0,0,20884,0.35,0.13,6,9,1,18300,auto,own,0,0
34,76793,14,3,11,4,5454,0.94,0.93,16,9,0,18182,business,rent,0,1
25,134813,29,28,14,4,74960,0.18,0.87,16,1,0,5971,auto,rent,0,0
52,67915,36,13,7,0,43618,1.25,0.71,11,0,1,27909,education,rent,1,0
52,24632,28,2,12,5,83948,1.1,0.11,12,4,2,20659,personal,rent,1,1
50,124592,21,23,2,0,62671,0.81,0.78,9,0,2,32403,home,mortgage,2,1
22,23596,3,4,12,4,47111,1.04,0.81,6,0,1,49651,home,mortgage,0,0
59,129779,19,15,14,8,39613,1.79,0.77,13,0,2,34586,personal,mortgage,2,1
56,26168,31,25,1,4,85678,0.39,0.11,0,5,2,11360,home,mortgage,0,0
58,128099,35,22,10,5,59993,0.05,0.64,16,8,0,22424,business,own,1,0
45,27561,3,19,3,7,8848,1.72,0.83,3,9,0,33499,business,rent,3,1
24,93794,26,3,2,0,78672,1.15,0.58,4,0,0,45695,education,mortgage,3,1
26,102152,16,23,12,1,66125,1.78,0.65,19,4,1,49791,education,rent,3,1
25,145036,11,29,0,8,86444,1.19,0.46,6,8,2,4065,auto,own,5,1
29,144049,21,23,2,2,61602,1.62,0.53,9,8,2,4259,education,rent,3,1
51,46734,16,1,11,5,72045,0.86,0.03,16,0,0,13300,business,rent,4,1
50,26371,9,29,1,4,42222,1.5,0.64,6,7,0,34370,education,mortgage,0,1
65,138894,0,17,7,1,49223,1.83,0.08,0,0,1,5295,home,mortgage,3,1
72,46069,21,18,5,6,65333,1.14,0.44,6,7,2,28209,auto,own,4,1
40,99905,25,27,8,3,52732,0.36,0.29,10,0,1,43751,auto,rent,4,0
41,32910,17,27,7,0,49420,0.54,0.55,8,4,2,37295,business,mortgage,4,0
54,93479,13,18,9,3,75504,0.4,0.13,11,7,1,21927,education,mortgage,2,0
52,97735,28,16,2,5,2462,0.49,0.69,2,5,0,35579,home,mortgage,2,0
61,101264,11,13,4,6,9460,0.61,0.8,3,8,1,45871,education,own,4,0
57,43275,35,18,6,6,99319,1.11,0.16,3,0,1,10032,personal,rent,5,0
39,92274,34,21,4,6,9275,1.18,0.1,12,8,0,28718,education,mortgage,3,1
44,101449,11,23,7,2,94213,0.85,0.15,18,0,2,13877,business,rent,0,1
52,120776,6,12,11,5,13269,1.23,0.88,9,9,2,41731,education,own,5,1
18,80004,28,11,4,7,65942,0.16,0.53,4,9,0,48992,auto,rent,1,0
52,82981,10,29,0,3,72920,0.18,0.47,6,2,1,27666,home,mortgage,2,0
54,104659,32,25,4,7,22553,0.34,0.11,15,0,1,42684,business,rent,3,0
64,74553,5,5,3,1,24366,1.04,0.65,0,2,1,7766,personal,rent,3,0
31,68447,14,20,5,9,44036,0.43,0.87,11,1,2,23829,home,own,1,1
20,54529,31,3,2,8,17369,0.57,0.83,1,1,1,21221,home,own,1,0
18,146394,10,18,14,8,11795,0.8,0.63,6,8,2,26102,auto,rent,3,1
22,95703,22,15,10,7,70021,1.62,0.08,10,7,1,35433,auto,rent,1,1
43,96090,25,12,4,9,68154,0.03,0.11,12,0,0,16932,auto,rent,3,0
72,37260,33,3,1,9,30143,1.3,0.05,1,3,0,26714,business,own,5,1
31,132581,33,29,10,0,29425,1.34,0.26,6,0,2,40743,education,own,1,1
56,23812,28,22,5,1,88209,1.6,0.14,14,0,2,3552,home,rent,5,1
44,48024,3,16,12,5,75139,1.87,0.26,10,3,0,46987,education,own,5,1
26,78656,16,22,14,9,5368,0.04,0.39,1,1,0,15274,education,mortgage,1,0
32,136148,34,0,11,4,4621,0.31,0.94,6,2,1,46380,auto,own,3,0
32,47285,12,17,5,8,58829,1.77,0.61,3,8,0,30250,education,own,4,1
43,112436,38,19,4,4,60294,0.92,0.83,10,1,2,3808,home,own,3,1
59,136421,14,16,5,1,14719,1.13,0.71,1,3,0,44858,home,mortgage,0,0
30,21605,28,26,10,9,29227,1.33,0.11,15,0,2,46028,personal,mortgage,1,1
68,91158,28,27,6,3,7566,1.36,0.74,6,1,2,16295,business,mortgage,2,1
49,92303,10,26,11,8,12306,1.86,0.28,12,4,1,48605,education,rent,1,1
56,47139,31,14,4,0,53822,1.99,0.64,4,9,1,15669,business,rent,0,1
66,97149,1,10,0,0,24042,1.44,0.34,16,0,1,11523,business,mortgage,5,1
69,76138,13,24,7,6,15086,0.57,1.0,11,6,1,46530,business,rent,2,1
49,138205,19,27,3,2,17387,1.76,0.26,18,3,0,14769,business,rent,2,1
21,96125,21,21,8,9,27042,0.1,0.28,6,5,1,47499,home,rent,3,0
47,33918,10,12,13,1,89424,0.46,0.93,5,7,0,45645,education,mortgage,4,1
54,105655,26,0,9,8,51618,1.79,0.02,7,5,1,26207,personal,own,3,1
40,47446,2,16,11,2,92050,0.51,0.7,12,1,1,36224,business,mortgage,2,0
56,144040,16,5,5,1,18323,0.44,0.73,4,0,2,26557,personal,mortgage,2,1
62,33046,27,3,0,7,18019,0.28,0.84,1,7,0,39191,home,rent,4,0
32,149922,28,19,2,9,75426,1.72,0.97,8,7,2,15246,home,rent,1,1
60,44818,20,15,2,5,40863,1.0,0.98,10,8,1,13846,auto,own,4,1
46,120894,15,14,9,5,10283,1.35,0.07,5,5,0,38085,business,own,5,1
53,135751,36,26,11,9,18279,0.48,0.82,6,0,1,46403,auto,own,3,0
30,24324,19,14,11,6,46999,1.52,0.65,6,8,2,14470,personal,own,1,1
49,96323,5,5,3,6,62780,1.52,0.65,18,2,0,14176,education,mortgage,3,1
24,29111,18,14,5,5,22908,0.63,0.13,5,5,2,42881,auto,own,4,0
68,58110,4,13,14,3,61584,0.82,0.65,10,9,1,14546,home,mortgage,1,1
39,36389,2,27,6,8,50225,0.42,0.98,10,9,1,7805,business,rent,4,1
45,142177,0,10,9,5,37952,1.95,0.91,6,8,1,17788,personal,own,5,1
19,61427,37,6,3,3,37663,1.29,0.44,1,2,0,30348,home,rent,0,1
59,99579,14,8,5,2,61381,1.87,0.04,18,4,2,9080,education,rent,2,1
62,48746,33,25,10,3,47929,0.61,0.36,3,4,2,36886,business,mortgage,1,0
74,142883,34,15,0,2,9343,1.56,0.83,5,9,1,24764,education,own,2,1
70,107886,24,4,13,1,76173,1.53,0.7,16,6,2,7630,education,mortgage,0,1
23,127141,23,24,7,4,39791,1.38,0.46,4,3,0,34333,business,rent,1,0
45,20117,11,19,6,1,29134,1.93,0.06,6,3,1,16701,business,own,2,1
45,145808,17,28,14,5,47101,0.79,0.43,8,6,1,15859,education,rent,2,1
61,132221,14,9,10,2,69443,0.26,0.47,0,8,1,22183,personal,rent,1,0
61,104471,15,17,10,5,99111,1.34,0.93,0,3,0,41438,business,own,2,0
37,132613,26,2,8,9,57530,1.46,0.64,18,3,1,32749,home,own,2,1
47,33234,7,12,2,8,46799,1.15,0.31,5,5,1,32887,auto,own,1,1
28,149597,24,10,1,0,4827,0.41,0.53,17,5,1,43244,personal,mortgage,2,0
72,123864,16,16,0,5,96143,1.01,0.07,9,6,1,9776,business,mortgage,2,1
45,73441,28,29,2,8,62653,0.62,0.97,10,0,2,16021,business,rent,3,1
42,20846,7,29,4,3,13699,0.85,0.36,0,2,1,5327,personal,own,5,0
56,30954,14,21,13,1,91419,1.29,0.48,0,8,0,49043,auto,rent,3,1
50,99239,26,12,10,3,5313,1.49,0.36,12,5,1,8614,education,rent,0,1
18,133689,6,5,1,0,13598,0.46,0.68,4,5,1,2245,home,rent,3,0
74,66514,2,16,11,2,28807,0.81,0.66,19,4,2,42011,business,rent,3,1
44,108236,28,26,2,9,70423,0.54,0.72,0,2,1,11355,auto,rent,0,0
74,117579,23,12,14,8,69390,0.4,0.27,19,4,2,34305,home,own,2,1
69,148644,2,18,14,9,45226,1.57,0.32,2,0,0,49692,personal,mortgage,2,0
30,26469,19,20,14,4,59550,1.82,0.13,17,2,2,30714,business,own,3,1
58,50105,14,18,3,5,80072,0.74,0.66,8,3,1,18198,education,own,0,0
20,62101,24,9,6,2,3558,1.5,0.04,13,4,0,2415,personal,own,2,1
56,84323,29,2,12,4,75308,1.79,0.6,16,9,1,44798,business,mortgage,4,1
23,111922,13,13,2,7,50113,1.69,0.87,13,8,2,2652,auto,mortgage,1,1
25,78067,6,25,14,5,52999,0.37,0.89,3,3,0,44625,home,mortgage,1,0
44,69376,16,18,8,3,55878,1.91,0.45,4,2,0,21446,home,own,5,1
26,65587,19,4,7,1,36343,0.75,0.46,16,9,2,19740,business,mortgage,1,1
54,56976,35,28,3,8,58219,0.68,0.08,1,0,2,4810,personal,rent,3,0
50,124587,8,4,12,0,35186,0.12,0.67,4,9,0,17569,education,mortgage,1,0
68,147534,37,19,0,0,36966,0.97,0.82,3,5,0,35319,auto,own,1,1
59,87584,21,16,0,3,33769,0.22,0.24,3,6,2,14584,business,own,4,0
61,124537,1,20,0,6,53218,0.5,0.42,5,9,1,27783,auto,rent,2,0
41,98477,23,9,0,0,19229,0.63,0.84,19,7,0,34529,home,mortgage,4,1
32,130911,7,4,7,8,75209,1.62,0.88,12,0,2,13511,education,mortgage,3,1
71,62533,10,3,2,3,27877,1.75,0.24,4,3,1,10471,auto,rent,1,1
49,21828,12,5,14,2,58001,0.6,0.55,6,4,0,46235,business,own,2,1
49,21917,16,25,5,0,97137,1.72,0.19,19,1,0,7163,education,own,5,1
41,40618,7,3,2,9,38084,1.71,0.1,0,0,2,17065,personal,mortgage,5,1
58,52254,20,29,10,3,81780,1.53,0.91,13,7,1,45654,business,mortgage,1,1
69,125292,17,6,4,8,92892,0.29,0.82,3,5,0,18920,auto,mortgage,1,0
66,136714,29,6,12,9,16806,1.38,0.76,16,4,1,39969,education,mortgage,5,1
66,67362,17,17,14,5,88635,1.89,0.05,13,8,1,49348,business,mortgage,5,1
69,40128,30,2,13,5,37034,1.37,0.84,15,1,0,20154,education,own,3,1
29,143781,37,0,12,0,40317,0.66,0.44,13,9,1,41167,education,own,1,1
56,131281,31,23,14,9,55468,1.0,0.34,15,7,0,21229,education,own,5,1
19,79383,10,24,6,1,19094,1.29,0.55,19,9,1,27997,auto,own,0,1
20,85545,24,3,1,5,57796,1.02,0.09,7,8,0,22101,business,rent,5,0
66,102180,32,5,5,1,10589,0.24,0.76,2,0,2,41391,home,own,2,0
54,107958,37,8,12,2,57221,0.62,0.58,18,6,0,11327,home,rent,2,1
66,29865,7,21,5,3,1657,1.6,0.19,0,7,0,8187,auto,own,0,1
73,22219,10,13,10,4,98300,1.72,0.19,1,2,0,30685,auto,mortgage,3,1
34,59809,21,27,2,8,39531,0.27,0.18,14,3,1,35948,education,mortgage,1,0
66,136748,23,11,5,3,52227,1.9,0.06,9,2,2,35728,business,mortgage,1,1
19,25287,16,27,9,8,3164,0.66,0.59,17,6,1,38921,business,rent,5,1
19,146593,11,24,9,9,93078,1.32,0.84,13,8,1,8035,personal,own,2,1
45,54387,31,19,13,2,83973,1.5,0.02,16,2,0,12471,personal,own,3,1
71,28512,14,23,4,7,41247,1.62,0.05,12,5,1,29460,home,rent,3,1
40,21342,15,24,11,0,19601,1.89,0.57,0,7,0,22071,personal,rent,3,1
54,83076,21,3,1,8,93966,0.63,0.82,4,5,2,1582,personal,rent,5,1
49,128872,27,20,8,8,50599,1.72,0.33,12,1,1,49282,home,rent,1,1
50,39216,19,29,7,9,71545,0.26,0.35,13,6,1,27189,home,rent,3,0
18,137512,32,23,2,1,4552,1.41,0.6,2,1,1,16531,personal,mortgage,5,1
36,136682,9,11,7,3,9417,1.48,0.27,14,1,0,17672,business,own,5,1
19,113070,39,9,13,7,58579,1.36,0.03,18,1,0,41747,personal,rent,0,1
70,99767,31,29,8,6,68207,0.5,0.74,16,0,1,21243,education,mortgage,4,0
61,117829,32,21,13,0,72055,1.75,0.63,2,0,1,4060,education,rent,3,1
43,46614,1,27,14,4,78270,0.34,0.58,15,6,2,14731,education,mortgage,4,1
49,56258,32,6,2,6,3722,0.11,0.74,13,4,2,13294,auto,rent,1,1
23,113789,32,2,2,3,70442,1.43,0.68,11,2,2,21719,education,own,5,1
49,62078,12,22,1,0,95632,0.95,0.21,11,0,2,48042,business,rent,3,1
72,126288,29,27,7,8,40031,1.7,0.35,10,9,2,27325,auto,rent,2,1
21,103524,32,13,9,4,79235,0.77,0.13,16,5,0,23597,auto,own,1,1
72,116573,12,23,0,1,21438,0.34,0.13,7,0,2,2903,education,own,0,0
28,32219,25,9,7,7,58819,1.67,0.68,16,8,2,15551,personal,rent,0,1
73,20235,21,15,6,1,43856,1.1,0.86,19,1,1,28751,home,own,4,1
34,62929,38,15,13,2,33576,0.38,0.96,10,0,0,25278,personal,own,5,0
55,147309,1,21,6,9,41938,1.44,0.63,1,6,2,26653,personal,mortgage,4,1
41,87444,37,9,2,0,49028,1.02,0.18,9,5,2,16141,auto,own,2,0
22,28567,38,24,0,1,59807,1.21,0.11,9,5,2,3377,auto,own,2,1
69,121834,25,12,3,6,49877,0.92,0.81,10,4,1,34615,auto,rent,0,1
51,90792,14,5,8,9,97783,1.66,0.58,5,3,1,48148,business,rent,3,1
23,85441,33,11,4,1,43461,1.66,0.62,3,3,1,28452,business,mortgage,0,1
39,104555,39,8,0,5,93474,1.42,0.78,11,2,2,23725,home,rent,0,1
28,93698,10,12,14,2,40469,0.21,0.7,10,9,1,10524,auto,own,2,1
65,144450,2,3,4,3,83136,1.68,0.83,12,7,2,48999,education,own,4,1
33,137248,5,23,12,7,20435,1.34,0.06,4,6,0,12698,auto,own,2,1
50,25415,8,10,7,2,84117,1.39,0.75,5,8,2,44339,business,rent,5,1
26,56159,5,19,7,9,14191,0.73,0.85,0,0,1,22175,auto,own,2,0
23,63925,8,17,4,5,84726,1.76,0.29,5,6,0,13314,business,own,2,1
33,146523,38,25,11,0,27386,1.45,0.64,17,9,2,45197,auto,mortgage,0,1
46,25951,30,10,8,6,31721,0.23,0.31,8,3,0,3365,education,mortgage,3,0
20,107388,31,24,14,7,54786,0.82,0.96,14,6,0,33017,home,mortgage,0,1
37,28007,11,20,0,7,13704,1.77,0.03,7,0,0,33126,education,rent,1,1
53,146730,7,3,3,2,56635,0.09,0.58,18,4,2,44372,business,own,2,0
36,61832,7,17,2,9,2123,1.92,0.17,15,2,1,45134,personal,own,2,1
43,78596,27,0,1,0,90710,1.36,0.71,5,4,2,38823,education,own,1,1
20,141101,19,26,14,8,62993,1.26,0.18,5,3,1,6622,auto,mortgage,2,1
36,50523,6,6,7,5,80122,0.54,0.24,2,1,2,31540,home,own,2,0
37,108861,10,5,6,8,97512,0.5,0.49,9,3,2,41551,auto,own,5,0
49,144194,19,14,8,6,25416,1.88,0.91,0,2,2,2949,auto,own,2,1
24,106740,15,17,1,0,1814,0.6,0.21,13,0,1,43800,education,own,1,1
69,35524,3,23,13,0,78537,1.55,0.14,3,9,2,32912,home,own,0,1
58,149028,5,10,13,5,50258,0.79,0.76,11,7,0,33161,personal,rent,2,1
50,39282,21,19,3,4,16508,0.28,0.5,5,4,2,45387,auto,own,3,0
57,43930,25,23,13,8,85166,0.02,0.91,10,3,0,17508,home,rent,1,0
56,20077,2,14,14,1,78916,1.09,0.15,11,9,1,46592,personal,own,4,1
35,125881,13,15,5,7,35699,1.95,0.65,9,4,1,44713,auto,rent,5,1
57,145501,10,6,10,4,46335,0.74,0.23,17,3,2,2919,home,own,1,1
18,40611,17,20,2,1,46806,0.71,0.16,6,2,2,43595,education,own,0,1
28,36984,11,9,7,9,77853,0.69,0.68,6,4,2,10617,auto,own,1,1
45,34060,22,25,2,5,63768,1.04,0.59,10,3,0,10732,auto,own,4,1
74,102985,11,11,13,9,35739,0.88,0.75,3,0,1,34298,home,mortgage,5,1
42,104056,12,23,11,7,34785,1.76,0.31,19,2,0,41617,auto,own,3,1
67,145329,24,13,12,3,31980,1.01,0.45,0,9,0,7929,personal,rent,4,1
40,63303,18,24,12,1,89335,1.02,0.41,12,9,2,38117,auto,mortgage,1,1
48,79207,35,4,1,4,94702,0.28,0.98,17,7,2,15456,business,mortgage,4,1
47,95046,7,25,12,1,85016,1.97,0.29,8,6,0,45063,personal,own,1,1
59,49287,28,20,12,1,1609,0.5,0.29,8,1,0,22140,home,rent,3,0
52,113709,31,17,2,5,66253,0.15,0.35,8,0,2,19185,personal,rent,3,0
24,59711,17,4,10,9,85481,1.33,0.56,9,2,2,38924,business,mortgage,0,1
33,31954,5,2,5,8,91128,1.19,0.25,1,4,0,25240,business,rent,3,1
43,93340,17,22,1,3,28141,0.83,0.92,5,9,2,22845,auto,own,2,1
65,92101,18,25,7,5,30009,0.84,0.27,14,0,2,10228,auto,own,4,1
74,91520,21,4,0,6,6782,1.57,0.9,2,2,0,22686,education,own,4,1
69,107062,36,23,6,5,92072,0.39,0.1,10,2,0,12920,personal,own,1,0
66,122974,31,16,1,7,99352,1.64,0.66,5,4,1,8432,education,own,3,1
19,38574,2,18,9,3,25933,1.3,0.91,2,2,0,45971,business,mortgage,0,1
18,29184,27,18,11,0,77154,0.84,0.17,10,8,2,7189,auto,own,0,1
65,39096,9,24,5,6,8307,0.92,0.97,14,0,0,29039,auto,own,0,1
29,87728,34,20,11,2,92207,0.51,0.45,12,3,0,34910,auto,mortgage,5,0
